MODEL - 1686746741,1686746743.134,0.55,0.2493,0.5,0.2538
MODEL - 1686746741,1686746743.232,0.5,0.2544,0.6,0.2471
MODEL - 1686746741,1686746743.303,0.5,0.2498,0.4,0.2518
MODEL - 1686746741,1686746743.376,0.7,0.248,0.5,0.2463
MODEL - 1686746741,1686746743.482,0.7,0.2444,0.4,0.254
MODEL - 1686746741,1686746743.556,0.45,0.2501,0.5,0.2424
MODEL - 1686746741,1686746743.624,0.5,0.2404,0.4,0.2565
MODEL - 1686746741,1686746743.682,0.4,0.2682,0.6,0.2297
MODEL - 1686746741,1686746743.736,0.45,0.2445,0.6,0.2393
MODEL - 1686746741,1686746743.779,0.25,0.2558,0.7,0.232
MODEL - 1686746741,1686746743.815,0.6,0.2358,0.8,0.2435
MODEL - 1686746741,1686746743.852,0.65,0.2364,0.9,0.222
MODEL - 1686746741,1686746743.904,0.45,0.2479,0.8,0.211
MODEL - 1686746741,1686746743.96,0.8,0.219,0.5,0.2657
MODEL - 1686746741,1686746744.024,0.65,0.2394,0.8,0.1866
MODEL - 1686746741,1686746744.065,0.6,0.2304,0.6,0.2193
MODEL - 1686746741,1686746744.097,0.6,0.2268,0.8,0.1547
MODEL - 1686746741,1686746744.142,0.7,0.197,1.0,0.1356
MODEL - 1686746741,1686746744.183,0.55,0.2265,0.9,0.1302
MODEL - 1686746741,1686746744.217,0.75,0.1935,0.7,0.171
MODEL - 1686746741,1686746744.262,0.8,0.1347,0.8,0.1517
MODEL - 1686746741,1686746744.298,0.55,0.2559,0.9,0.1019
MODEL - 1686746741,1686746744.328,0.7,0.1863,1.0,0.0813
MODEL - 1686746741,1686746744.368,0.65,0.1979,1.0,0.0783
MODEL - 1686746741,1686746744.42,0.6,0.1742,0.9,0.0765
MODEL - 1686746741,1686746744.474,0.75,0.1781,1.0,0.0794
MODEL - 1686746741,1686746744.521,0.7,0.2375,0.7,0.1186
MODEL - 1686746741,1686746744.547,0.73,0.1658,0.6,0.2913
MODEL - 1686746741,1686746744.581,0.65,0.238,0.8,0.1172
MODEL - 1686746741,1686746744.614,0.65,0.2034,0.6,0.2116
MODEL - 1686746741,1686746744.645,0.65,0.214,0.9,0.1354
MODEL - 1686746741,1686746744.67,0.75,0.1711,0.6,0.2294
MODEL - 1686746741,1686746744.712,0.75,0.1895,0.8,0.1449
MODEL - 1686746741,1686746744.738,0.85,0.1575,0.7,0.165
MODEL - 1686746741,1686746744.768,0.85,0.1375,1.0,0.1324
MODEL - 1686746741,1686746744.796,0.65,0.2025,0.9,0.0985
MODEL - 1686746741,1686746744.829,0.85,0.1559,0.9,0.1228
MODEL - 1686746741,1686746744.858,0.85,0.154,0.9,0.1115
MODEL - 1686746741,1686746744.882,0.85,0.1358,0.7,0.1464
MODEL - 1686746741,1686746744.912,0.8,0.1806,0.7,0.2311
MODEL - 1686746741,1686746744.942,0.65,0.2352,0.7,0.2498
MODEL - 1686746741,1686746744.966,0.8,0.1477,0.7,0.2101
MODEL - 1686746741,1686746745.018,0.7,0.2196,0.6,0.2709
MODEL - 1686746741,1686746745.055,0.7,0.1745,0.8,0.1734
MODEL - 1686746741,1686746745.093,0.7,0.2044,0.8,0.1268
MODEL - 1686746741,1686746745.124,0.8,0.1401,0.8,0.1156
MODEL - 1686746741,1686746745.153,0.85,0.1492,0.9,0.0775
MODEL - 1686746741,1686746745.184,0.85,0.1314,0.8,0.1042
MODEL - 1686746741,1686746745.211,0.95,0.0773,0.8,0.1027
MODEL - 1686746741,1686746745.241,0.7,0.2004,0.8,0.1358
MODEL - 1686746741,1686746745.271,0.85,0.1033,1.0,0.0488
MODEL - 1686746741,1686746745.301,0.95,0.0958,0.9,0.0875
MODEL - 1686746741,1686746745.328,0.85,0.1135,0.6,0.2494
MODEL - 1686746741,1686746745.357,0.65,0.2104,0.6,0.252
MODEL - 1686746741,1686746745.392,0.8,0.2085,0.8,0.1291
MODEL - 1686746741,1686746745.418,0.87,0.134,0.9,0.0667
MODEL - 1686746741,1686746745.466,0.6,0.2125,0.8,0.1926
MODEL - 1686746741,1686746745.498,0.8,0.1449,0.9,0.087
MODEL - 1686746741,1686746745.527,0.7,0.1885,0.7,0.2077
MODEL - 1686746741,1686746745.551,0.75,0.1553,0.9,0.0792
MODEL - 1686746741,1686746745.581,0.8,0.1247,1.0,0.0416
MODEL - 1686746741,1686746745.613,0.85,0.1093,0.8,0.1001
MODEL - 1686746741,1686746745.639,0.95,0.0543,0.9,0.0696
MODEL - 1686746741,1686746745.661,0.75,0.1938,0.8,0.0939
MODEL - 1686746741,1686746745.69,0.85,0.1086,0.7,0.171
MODEL - 1686746741,1686746745.733,0.95,0.0876,0.8,0.1778
MODEL - 1686746741,1686746745.766,0.8,0.1143,0.7,0.2007
MODEL - 1686746741,1686746745.797,0.7,0.1825,0.6,0.2363
MODEL - 1686746741,1686746745.824,0.8,0.2109,0.9,0.0708
MODEL - 1686746741,1686746745.847,0.87,0.1217,0.8,0.126
MODEL - 1686746741,1686746745.883,0.75,0.1826,0.7,0.1504
MODEL - 1686746741,1686746745.914,0.75,0.1578,0.9,0.0871
MODEL - 1686746741,1686746745.942,0.7,0.1878,0.7,0.1799
MODEL - 1686746741,1686746745.965,0.8,0.1319,0.8,0.1102
